Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.11     0.00     4002     0.00     0.00  edge* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*>(__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*)
  0.00      6.11     0.00     4002     0.00     0.00  edge* std::uninitialized_copy<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*>(__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*)
  0.00      6.11     0.00     4002     0.00     0.00  edge* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*, edge>(__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*, std::allocator<edge>&)
  0.00      6.11     0.00     4002     0.00     0.00  edge* std::copy<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*>(__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*)
  0.00      6.11     0.00     4000     0.00     0.00  std::vector<edge, std::allocator<edge> >* std::__addressof<std::vector<edge, std::allocator<edge> > >(std::vector<edge, std::allocator<edge> >&)
  0.00      6.11     0.00     2126     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_M_get_Tp_allocator() const
  0.00      6.11     0.00     2006     0.00     0.00  __gnu_cxx::new_allocator<edge>::new_allocator()
  0.00      6.11     0.00     2002     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<edge> >::_S_select_on_copy(std::allocator<edge> const&)
  0.00      6.11     0.00     2002     0.00     0.00  std::vector<edge, std::allocator<edge> >::vector(std::vector<edge, std::allocator<edge> > const&)
  0.00      6.11     0.00     2000     0.00     0.00  std::vector<edge, std::allocator<edge> >::capacity() const
  0.00      6.11     0.00     2000     0.00     0.00  std::allocator<edge>::allocator()
  0.00      6.11     0.00     2000     0.00     0.00  std::allocator<edge>::~allocator()
  0.00      6.11     0.00     2000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      6.11     0.00     2000     0.00     0.01  edge* std::__uninitialized_fill_n<true>::__uninit_fill_n<edge*, unsigned long, edge>(edge*, unsigned long, edge const&)
  0.00      6.11     0.00     2000     0.00     0.01  std::vector<edge, std::allocator<edge> >::_M_fill_initialize(unsigned long, edge const&)
  0.00      6.11     0.00     2000     0.00     0.00  edge* std::vector<edge, std::allocator<edge> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > > >(unsigned long, __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >)
  0.00      6.11     0.00     2000     0.00     0.01  std::vector<edge, std::allocator<edge> >::vector(unsigned long, edge const&, std::allocator<edge> const&)
  0.00      6.11     0.00     2000     0.00     0.00  void std::_Construct<std::vector<edge, std::allocator<edge> >, std::vector<edge, std::allocator<edge> > >(std::vector<edge, std::allocator<edge> >*, std::vector<edge, std::allocator<edge> > const&)
  0.00      6.11     0.00     2000     0.00     0.01  edge* std::uninitialized_fill_n<edge*, unsigned long, edge>(edge*, unsigned long, edge const&)
  0.00      6.11     0.00     2000     0.00     0.01  edge* std::__uninitialized_fill_n_a<edge*, unsigned long, edge, edge>(edge*, unsigned long, edge const&, std::allocator<edge>&)
  0.00      6.11     0.00     2000     0.00     0.01  edge* std::fill_n<edge*, unsigned long, edge>(edge*, unsigned long, edge const&)
